value,valuehat
2294798.48,2392780.95
2395003.04,2344470.64
2163305.03,2308859.19
2246925.54,2615291.81
1856231.8771,2192025.99
1967918.13,2086166.4
2043582.43,2226470.94
2188296.95,2392780.95
2139313.37,2344470.64
2125497.05,2308859.19
2203791.66,2615291.81
2236200.47,2192025.99
2010758.8,2086166.4
2612499.13,2226470.94
2599725.58,2354084.42
2496025.19,2306555.39
2544009.6,2271519.87
2662550.07,2572996.8
2160251.16,2156576.11
2054860.58,2052428.5
2227901.09,2190464.01
2441781.82,2354084.42
2359182.13,2306555.39
2117020.35,2271519.87
2650566.32,2584557.43
3256715.34,2214835.79
3142011.11,2109177.91
2905053.39,2008471.06
3162937.64,2146958.31
3535352.87,2203114.9
2470200.47,2027773.75
2179154.43,2572996.8
1813960.86,2156576.11
1817894.15,2052428.5
1818344.34,2190464.01
2094649.82,2354084.42
2268860.06,2306555.39
1977901.17,2271519.87
2096428.5,2572996.8
1885899.05,2156576.11
1544811.13,2052428.5
1703852.98,2190464.01
2038120.58,2354084.42
2004936.95,2306555.39
3051147.26,2271519.87
2724126.81,2397750.3
1930616.86,2009691.96
1948548.26,1912637.83
2360905.6,2041271.76
2304274.15,2193748.01
2305117.32,2149456.17
2083436.78,2116806.91
2358966.97,2397750.3
1752072.11,2009691.96
1907109.55,1912637.83
1989741.58,2041271.76
2192800.99,2193748.01
2046051.38,2149456.17
2721283.08,2116806.91
2261365.29,2397750.3
2194515.02,2009691.96
2422947.04,1912637.83
2143301.96,2041271.76
2148740.52,2193748.01
1913817.49,2149456.17
2074936.07,2116806.91
2182169.55,2397750.3
1641185.11,2009691.96
1790808.97,1912637.83
1755926.29,2041271.76
1951389.68,2193748.01
2084558.07,2156032.75
1828442.27,1904957.74
2709697.91,2628844.44
3175782.42,2820040.31
628061.32,836426.19
2510774.21,2356413.66
2255543.58,2129895.8
2136691.96,2093278.3
2123855.76,2067789.76
2659893.67,2349393.95
1764170.93,1975186.67
1728463.03,1885550.42
2316368.85,2018519.71
2166550.71,2175933.73
2048534.16,2138524.73
1905189.42,2011710.85
2203468.34,2278705.85
1698671.65,1909913.98
1776454.57,1817678.43
1924643.74,1939925.9
2262041.91,2084831.94
1623061.18,2042739.13
2018537.92,2011710.85
2317348.16,2278705.85
1985471.72,1909913.98
1758826.426,1817678.43
2001789.2,1939925.9
1985378.02,2084831.94
2125051.69,2042739.13
1878741.83,2011710.85
1988534.18,2278705.85
2119489.5,1909913.98
2119144.64,1817678.43
2219503.86,1939925.9
2460596.09,2084831.94
1851037.59,2138540.0
2227888.63,2106056.55
2874978.31,2385573.14
2120153.08,1999485.59
2034929.39,1902924.36
2146145.83,2030905.01
2458175.25,2182606.89
2315530.78,2138540.0
2659488.75,2106056.55
2516774.19,2385573.14
2010377.83,1999485.59
1959846.51,1902924.36
2171323.71,2030905.01
2042283.59,2182606.89
2445194.84,2138540.0
2045159.8,2106056.55
2442684.03,2385573.14
1971130.51,1999485.59
1902205.73,1902924.36
1883723.67,2030905.01
2026222.89,2182606.89
1837320.58,2138540.0
1798250.54,2106056.55
2570543.12,2385573.14
2015714.45,1999485.59
1781036.51,1902924.36
1727161.31,2030905.01
1961335.43,2182606.89
1807087.01,2138540.0
2361732.76,2106056.55
2519513.3,2367375.58
2163605.69,1973897.41
2204366.54,1868786.55
1959741.86,1984082.2
2198896.51,2121179.62
1869019.18,2067526.93
2039634.62,2025516.1
2389137.06,2282392.25
1680833.28,1903039.04
1827619.08,1801701.41
2011685.4,1912858.21
2276004.91,2045034.16
1700066.46,1993307.48
2200881.69,2100934.83
2406184.19,2379771.66
1760116.8,1994623.03
2105638.66,1898296.63
2043101.41,2025966.05
2082067.08,2177299.0
1960153.35,2133339.28
1959759.78,2100934.83
2445912.94,2379771.66
1895405.05,1994623.03
1743476.68,1898296.63
1899984.66,2025966.05
2350501.81,2177299.0
2184016.16,2133339.28
2364900.1,2100934.83
2376162.29,2379771.66
1873236.63,1994623.03
1984112.25,1898296.63
2077232.64,1989091.63
2409533.16,2137670.19
2170384.78,2094510.57
2434123.34,2062695.91
2616427.33,2336457.66
2092337.59,1958319.08
1940840.52,1863745.91
2063096.29,1989091.63
2199692.82,2137670.19
2158097.11,2094510.57
2187217.64,2062695.91
2200977.54,2336457.66
1804699.57,1958319.08
1592104.89,1863745.91
1900457.01,1989091.63
2082407.65,2137670.19
1917447.66,2094510.57
2263078.29,2062695.91
2109270.52,2336457.66
1731567.27,1958319.08
1943357.27,1863745.91
1954513.98,1989091.63
2269662.22,2137670.19
2040230.29,2094510.57
1633644.0,2062695.91
2233525.47,2336457.66
2194580.6,1958319.08
2004023.99,1863745.91
2031017.19,1989091.63
2124162.87,2137670.19
2094961.99,2094510.57
1991783.6,2079924.67
3705471.27,3301834.5
2989842.68,2798273.63
2587756.01,2466017.38
2657698.07,2569667.22
3070156.54,2888118.93
3224844.37,2989629.47
2063434.7,2173950.96
2655320.3,2538550.07
2026102.66,2008968.48
2174214.67,2102009.79
2192724.02,2140490.46
2569835.17,2479893.77
2383003.5,2318121.6
2439416.16,2351266.8
2468241.31,2437038.59
1982580.34,2022534.24
2000226.84,1939921.36
2156004.4,2005705.61
2384531.91,2155525.18
2328303.6,2112005.07
1888467.46,2079924.67
2483858.9,2355973.03
2011025.29,1974676.04
1670802.85,1879312.94
1883637.3800000001,2005705.61
2079057.67,2155525.18
1944120.66,2112005.07
1822079.09,2079924.67
2350913.92,2355973.03
2431351.56,1949966.62
1921543.31,1855796.81
1843558.41,1980607.92
2033472.27,2128552.78
2302696.43,2085577.24
1927953.856,2053898.27
2604923.886,2326492.4
1813420.39,1949966.62
2194808.28,1855796.81
2067476.3,1980607.92
2174110.94,2128552.78
2460825.26,2085577.24
1883792.09,2053898.27
2552052.7181,2326492.4
1935107.9,1949966.62
1834901.21,1855796.81
1779835.45,1980607.92
2082456.55,2128552.78
1968340.23,2085577.24
1881191.05,2053898.27
2505103.92,2326492.4
1765361.62,1949966.62
1625195.69,1855796.81
1907983.22,1980607.92
2082332.15,2128552.78
1997478.18,2085577.24
2152615.28,2053898.27
2382071.6,2326492.4
1940509.47,1949966.62
1797344.11,1855796.81
2224969.62,2213533.82
2174831.05,2243366.63
2360741.88,2398291.06
2242839.94,2280223.43
2883435.19,2512878.36
2696921.19,2106187.39
2098867.52,2004473.21
2482476.14,2139283.5
2340301.2,2299080.89
2201189.9,2252662.39
2165115.41,2218445.47
2619462.51,2512878.36
2354126.09,2106187.39
2070251.16,2004473.21
2051334.52,2139283.5
2402489.37,2299080.89
2792511.18,2252662.39
2197792.34,2218445.47
2403851.82,2512878.36
1641596.6,2106187.39
1826770.6,2004473.21
2019791.55,2139283.5
2029468.98,2065789.65
1976443.43,2033595.98
1988378.65,2029735.77
2207375.62,2224516.08
1907536.8,1887235.1
