10068|PLATO C/DIVISIONES VAMPIRO SKIP HOP|3|N|07|BAZAR|0708|PUERICULTURA|070803|PEQUEÑA PUERICULTURA|07080302|ACCESORIOS DE ALIMENTACIÓN BEBE|
1006|MUFFIN VAINILLA C/CRUMBLE FRUTOS B.3UN.|21|F|05|FRESCOS|0506|PANADERIA|050612|ELAB.PROPIA - CONFITERÍA|05061204|DONUTS/MUFFINS|
10070|CUBIERTOS ACERO TIBURON SKIP HOP|3|N|07|BAZAR|0708|PUERICULTURA|070803|PEQUEÑA PUERICULTURA|07080302|ACCESORIOS DE ALIMENTACIÓN BEBE|
10071|PLATO C/DIVISIONES ABEJA SKIP HOP|3|N|07|BAZAR|0708|PUERICULTURA|070803|PEQUEÑA PUERICULTURA|07080302|ACCESORIOS DE ALIMENTACIÓN BEBE|
10074|SALMON EN FETAS 500 GRS|27|F|04|CONGELADOS|0411|PESCADOS Y MARISCOS CONGELADOS|041116|SALMON|04111601|PESCADOS NATURALES|
10075|ENVASE 750ML./950ML. FALLABRINO|23|I|01|ALMACEN|0124|INSUMOS|012401|ENVASES|01240101|ENVASES|
10076|CUBIERTOS ACERO ZORRO SKIP HOP|3|N|07|BAZAR|0708|PUERICULTURA|070803|PEQUEÑA PUERICULTURA|07080302|ACCESORIOS DE ALIMENTACIÓN BEBE|
10079|BOTELLA SORBITO 385ML MONO SKIP HOP|3|N|07|BAZAR|0708|PUERICULTURA|070803|PEQUEÑA PUERICULTURA|07080302|ACCESORIOS DE ALIMENTACIÓN BEBE|
10080|BOTELLA SORBITO 385ML LLAMA SKIP HOP|3|N|07|BAZAR|0708|PUERICULTURA|070803|PEQUEÑA PUERICULTURA|07080302|ACCESORIOS DE ALIMENTACIÓN BEBE|
10081|TOMATE SALSERO|4|F|05|FRESCOS|0510|VERDURAS|051009|VERDURAS DE FRUTOS|05100907|TOMATES|
100823|RR FIJOAS X UNID|35|F|04|CONGELADOS|0407|COMIDAS PREPARADAS CONGELADAS|040708|FEIJOADAS|04070801|FEIJOADA|
10083|JAMON COCIDO AHUMADO PICORELL|11|F|05|FRESCOS|0502|FIAMBRES|050202|FIAMBRES|05020204|JAMON COCIDO|
10084|BOTELLA SORBITO 385ML NARVAL SKIP HOP|3|N|07|BAZAR|0708|PUERICULTURA|070803|PEQUEÑA PUERICULTURA|07080302|ACCESORIOS DE ALIMENTACIÓN BEBE|
10085|BOTELLA SORBITO 385ML MARIPOSA SKIP HOP|3|N|07|BAZAR|0708|PUERICULTURA|070803|PEQUEÑA PUERICULTURA|07080302|ACCESORIOS DE ALIMENTACIÓN BEBE|
10086|BOTELLA SORBITO 385ML UNICORNIO SKIP HOP|3|N|07|BAZAR|0708|PUERICULTURA|070803|PEQUEÑA PUERICULTURA|07080302|ACCESORIOS DE ALIMENTACIÓN BEBE|
100873|POSTRE CONG. ROGEL 1.100G. SWEETLY|16|F|04|CONGELADOS|0402|HELADOS Y POSTRES|040202|POSTRES CONGELADOS|04020206|TORTA HELADA|
100874|POSTRE CONG. BOMBON 1.100G. SWEETLY|16|F|04|CONGELADOS|0402|HELADOS Y POSTRES|040202|POSTRES CONGELADOS|04020206|TORTA HELADA|
10087|BOTELLA SORBITO 385ML TIBURON SKIP HOP|3|N|07|BAZAR|0708|PUERICULTURA|070803|PEQUEÑA PUERICULTURA|07080302|ACCESORIOS DE ALIMENTACIÓN BEBE|
10088|BOTELLA SORBITO 385ML PERRO SKIP HOP|3|N|07|BAZAR|0708|PUERICULTURA|070803|PEQUEÑA PUERICULTURA|07080302|ACCESORIOS DE ALIMENTACIÓN BEBE|
