SKU,Local,Forecast sumarizado
266407,00005,152.0
267335,00005,722.0
267336,00005,582.0
267561,00005,56.0
272016,00005,120.0
27343,00005,175.0
274088,00005,271.0
274129,00005,204.0
274130,00005,80.0
274131,00005,184.0
274132,00005,168.0
274587,00005,56.0
274594,00005,56.0
274801,00005,544.0
275049,00005,56.0
275701,00005,833.0
275892,00005,172.0
275893,00005,166.0
278255,00005,64.0
279557,00005,94.0
281387,00005,112.0
281389,00005,56.0
28303,00005,12034.0
285375,00005,205.0
285381,00005,174.0
285389,00005,482.0
285929,00005,56.0
286550,00005,96.0
286646,00005,112.0
286647,00005,82.0
287459,00005,60.0
287475,00005,2298.0
287629,00005,78.0
287638,00005,56.0
288718,00005,418.0
288731,00005,112.0
288733,00005,112.0
288747,00005,240.0
288749,00005,362.0
288758,00005,655.0
288909,00005,109.0
288910,00005,112.0
289879,00005,56.0
289964,00005,205.0
29034,00005,119.0
290523,00005,192.0
291029,00005,181.0
291248,00005,204.0
291708,00005,104.0
292819,00005,468.0
292973,00005,104.0
294852,00005,199.0
294908,00005,60.0
295341,00005,559.0
296046,00005,120.0
296047,00005,120.0
296048,00005,130.0
3,00005,64.0
300269,00005,136.0
301147,00005,432.0
301806,00005,325.0
30316,00005,424.0
305178,00005,96.0
305220,00005,128.0
306915,00005,4517.0
306918,00005,295.0
307039,00005,56.0
307040,00005,112.0
307761,00005,103.0
307762,00005,217.0
308933,00005,114.0
309000,00005,1160.0
309091,00005,352.0
309249,00005,480.0
31025,00005,258.0
31026,00005,156.0
310806,00005,217.0
31135,00005,225.0
312229,00005,142.0
312230,00005,344.0
312285,00005,69.0
312550,00005,56.0
313137,00005,56.0
315490,00005,176.0
315870,00005,168.0
315871,00005,112.0
316218,00005,80.0
320256,00005,789.0
320262,00005,104.0
320282,00005,730.0
321965,00005,97.0
321966,00005,578.0
322105,00005,109.0
322314,00005,56.0
324183,00005,397.0
325807,00005,56.0
326464,00005,56.0
32654,00005,96.0
32661,00005,214.0
32692,00005,7431.0
32746,00005,6097.0
32757,00005,5048.0
3276,00005,112.0
329403,00005,167.0
330173,00005,108.0
330287,00005,1954.0
330826,00005,56.0
332370,00005,56.0
332816,00005,198.0
333109,00005,244.0
333110,00005,162.0
333111,00005,147.0
333112,00005,846.0
333113,00005,974.0
333903,00005,216.0
334253,00005,56.0
334296,00005,203.0
334439,00005,56.0
335462,00005,315.0
335511,00005,480.0
335512,00005,503.0
338270,00005,72.0
339030,00005,174.0
339031,00005,184.0
339192,00005,167.0
339585,00005,71.0
345280,00005,144.0
345481,00005,414.0
346736,00005,112.0
346737,00005,145.0
346738,00005,149.0
34708,00005,578.0
347140,00005,126.0
34726,00005,232.0
