SKU,Local,Forecast sumarizado
100175,00001,94.0
100355,00001,196.0
100407,00001,61.0
100408,00001,115.0
100622,00001,2280.0
100941,00001,30.0
100942,00001,30.0
100971,00001,90.0
100972,00001,60.0
10138,00001,84.0
101659,00001,30.0
101661,00001,34.0
101734,00001,944.0
101735,00001,863.0
101740,00001,1140.0
101743,00001,3235.0
101744,00001,60.0
101745,00001,96.0
101747,00001,129.0
101748,00001,59.0
102069,00001,30.0
102410,00001,86.0
102411,00001,225.0
102412,00001,191.0
10259,00001,64.0
102663,00001,84.0
102681,00001,30.0
102830,00001,1659.0
102832,00001,273.0
102833,00001,175.0
102834,00001,103.0
102835,00001,153.0
102837,00001,64.0
1029,00001,370.0
10296,00001,128.0
103,00001,86.0
10316,00001,297.0
103196,00001,61.0
103197,00001,377.0
103198,00001,38.0
103200,00001,66.0
103537,00001,30.0
103569,00001,251.0
103714,00001,90.0
103715,00001,113.0
103716,00001,60.0
103717,00001,235.0
1038,00001,215.0
10403,00001,3333.0
1041,00001,34.0
104711,00001,342.0
104746,00001,130.0
105285,00001,651.0
105294,00001,276.0
105295,00001,208.0
105313,00001,229.0
105316,00001,801.0
105317,00001,423.0
105320,00001,399.0
105321,00001,843.0
105322,00001,657.0
105323,00001,439.0
105330,00001,345.0
105332,00001,366.0
105334,00001,207.0
105335,00001,1609.0
105789,00001,39.0
105956,00001,876.0
106208,00001,1101.0
106236,00001,20293.0
106237,00001,58.0
106239,00001,1247.0
10624,00001,61.0
10625,00001,133.0
10628,00001,147.0
10629,00001,245.0
1063,00001,57598.0
106356,00001,62386.0
106537,00001,148.0
106606,00001,610.0
10661,00001,65.0
106662,00001,9096.0
106972,00001,150.0
106974,00001,427.0
107151,00001,64.0
107214,00001,231.0
107271,00001,4141.0
107272,00001,560.0
107401,00001,118.0
107416,00001,52.0
107458,00001,793.0
107459,00001,274.0
107462,00001,163.0
107465,00001,222.0
107466,00001,241.0
107467,00001,119.0
107469,00001,59.0
107546,00001,398.0
107573,00001,46.0
107582,00001,103.0
107662,00001,72.0
107687,00001,30.0
107780,00001,60.0
108193,00001,2170.0
108895,00001,119.0
109314,00001,650.0
